#1:k(h/Mpc)	2:d_g	3:d_b	4:d_cdm	5:d_ur	6:d_tot	7:phi	8:psi	9:t_g	10:t_b	11:t_cdm	12:t_ur	13:t_tot
0.2186490202307	0.0	-1.2	-18.399940003422547	0.0	-18.32638945554913	0.5968968697806759	0.5968968697806759	0.0	0.0	0.5723378664680041	0.0	0.570050045766437
0.2259613059969	0.0	-1.2	-19.568458580002652	0.0	-19.490237083121155	0.5968395073809483	0.5968395073809483	0.0	0.0	0.6112267434197621	0.0	0.6087834712218613
0.2335188188673	0.0	-1.2	-20.81651285922387	0.0	-20.73330248324845	0.5967837080368202	0.5967837080368202	0.0	0.0	0.65276242582637	0.0	0.650153121989413
0.2413304118541	0.0	-1.2	-22.14963152519604	0.0	-22.061092240091334	0.5967294987798909	0.5967294987798909	0.0	0.0	0.6971288986323879	0.0	0.6943422475659569
0.2494055832844	0.0	-1.2	-23.573793576573603	0.0	-23.479561452300953	0.5966768961066444	0.5966768961066444	0.0	0.0	0.744525133016086	0.0	0.7415490237772149
0.2577545983082	0.0	-1.2	-25.095486610849395	0.0	-24.995171784331774	0.5966259064541476	0.5966259064541476	0.0	0.0	0.7951670260177057	0.0	0.7919884846527013
0.266388629552	0.0	-1.2	-26.721775820208347	0.0	-26.614960186496425	0.5965765267575366	0.5965765267575366	0.0	0.0	0.8492896966292685	0.0	0.8458948093373148
0.2753199203806	0.0	-1.2	-28.46038595151232	0.0	-28.34662052732978	0.5965287450642669	0.5965287450642669	0.0	0.0	0.9071502133093073	0.0	0.9035240387033046
0.2845619752242	0.0	-1.2	-30.3197990622287	0.0	-30.198600958755318	0.5964825411795733	0.5964825411795733	0.0	0.0	0.9690308471622467	0.0	0.9651573155256346
0.2941297827465	0.0	-1.2	-32.309371669882275	0.0	-32.18022059725249	0.5964378873194168	0.5964378873194168	0.0	0.0	1.035242970506002	0.0	1.0311047674657392
0.3040400793718	0.0	-1.2	-34.43947591156857	0.0	-34.301810119109575	0.5963947487484269	0.5963947487484269	0.0	0.0	1.1061317544611438	0.0	1.1017101858828948
0.3143116630141	0.0	-1.2	-36.72167069966381	0.0	-36.57488223196854	0.5963530843807662	0.5963530843807662	0.0	0.0	1.1820818647731277	0.0	1.1773566988883954
0.3249657699694	0.0	-1.2	-39.168910716868695	0.0	-39.01233983444762	0.5963128473229277	0.5963128473229277	0.0	0.0	1.2635244168778634	0.0	1.2584736986094605
0.336026532163	0.0	-1.2	-41.79580363971533	0.0	-41.628732211442255	0.5962739853382538	0.5962739853382538	0.0	0.0	1.3509455359483231	0.0	1.3455453670185513
0.3475215377466	0.0	-1.2	-44.61892951035837	0.0	-44.440573129283116	0.596236441211841	0.596236441211841	0.0	0.0	1.4448969851562414	0.0	1.4391212617104518
0.3594825261125	0.0	-1.2	-47.65724113814107	0.0	-47.466739636766945	0.59620015299197	0.59620015299197	0.0	0.0	1.546009490501631	0.0	1.5398295874681025
0.371946259776	0.0	-1.2	-50.93257148249004	0.0	-50.72897741987667	0.5961650540811887	0.5961650540811887	0.0	0.0	1.6550096258445006	0.0	1.6483940137993527
0.3849556318996	0.0	-1.2	-54.470284205244404	0.0	-54.252548753641236	0.5961310731418593	0.5961310731418593	0.0	0.0	1.7727414624333437	0.0	1.76565523792524
0.3985610920192	0.0	-1.2	-58.30011865273725	0.0	-58.0670741065487	0.5960981337712404	0.5960981337712404	0.0	0.0	1.9001946888078165	0.0	1.892598992278264
0.4128225078707	0.0	-1.2	-62.45730314871578	0.0	-62.20764098327233	0.596066153881202	0.596066153881202	0.0	0.0	2.0385416597440367	0.0	2.030392945350997
0.4278116347586	0.0	-1.2	-66.9840451328683	0.0	-66.7162881066289	0.5960350446924503	0.5960350446924503	0.0	0.0	2.189186986140072	0.0	2.1804360933546607
0.4436154468712	0.0	-1.2	-71.93156100225346	0.0	-71.64402714507122	0.5960047092067989	0.5960047092067989	0.0	0.0	2.353835085523784	0.0	2.3444260407056086
0.4603407166648	0.0	-1.2	-77.36289585799176	0.0	-77.05365118793463	0.5959750399521595	0.5959750399521595	0.0	0.0	2.5345840195959655	0.0	2.5244524624692675
0.4781204433006	0.0	-1.2	-83.35692783619804	0.0	-83.0237230697555	0.5959459156806762	0.5959459156806762	0.0	0.0	2.7340587532182474	0.0	2.7231298306685052
0.4971230923704	0.0	-1.2	-90.01419839661052	0.0	-89.65438235333941	0.5959171965073223	0.5959171965073223	0.0	0.0	2.955605178930176	0.0	2.9437906632215713
0.5175662374722	0.0	-1.2	-97.46564653634893	0.0	-97.07604463002468	0.5958887166422713	0.5958887166422713	0.0	0.0	3.2035807803642387	0.0	3.190775025480869
0.5397373296645	0.0	-1.2	-105.88612963882936	0.0	-105.46286832136403	0.5958602732718322	0.5958602732718322	0.0	0.0	3.483804588726275	0.0	3.4698786880908883
0.5640264636752	0.0	-1.2	-115.51616751202485	0.0	-115.05441179938849	0.5958316090094143	0.5958316090094143	0.0	0.0	3.804280796437635	0.0	3.7890738481111588
0.5909802579993	0.0	-1.2	-126.69851095325654	0.0	-126.19205577494483	0.5958023831070794	0.5958023831070794	0.0	0.0	4.176415711931275	0.0	4.159721219248008
0.62139487345	0.0	-1.2	-139.94299205555234	0.0	-139.3835943762764	0.5957721219422388	0.5957721219422388	0.0	0.0	4.617175894356616	0.0	4.598719539792705
0.656486087089	0.0	-1.2	-156.04906341437152	0.0	-155.42528452666178	0.5957401288533837	0.5957401288533837	0.0	0.0	5.153166100457875	0.0	5.132567218619081
0.6982219281722	0.0	-1.2	-176.35570246570558	0.0	-175.6507513335529	0.5957053083184298	0.5957053083184298	0.0	0.0	5.828945778504011	0.0	5.8056455853808995
0.7500251855384	0.0	-1.2	-203.29962197672796	0.0	-202.48696723024153	0.5956657943770259	0.5956657943770259	0.0	0.0	6.725605592169339	0.0	6.698721157981371
0.8183767175634	0.0	-1.2	-241.79750890267516	0.0	-240.8309655742235	0.5956180935654154	0.5956180935654154	0.0	0.0	8.006766540708922	0.0	7.974760889296247
0.9166038834354	0.0	-1.2	-302.9921540129019	0.0	-301.7809957740788	0.5955549765165791	0.5955549765165791	0.0	0.0	10.043246294011375	0.0	10.00310017031669
1.07191367534	0.0	-1.2	-413.8690836059049	0.0	-412.2147141981013	0.5954608526126386	0.5954608526126386	0.0	0.0	13.73308818393345	0.0	13.678192561462161
1.319167460364	0.0	-1.2	-626.0535795133792	0.0	-623.5510396266862	0.5953102095359155	0.5953102095359155	0.0	0.0	20.79431444875685	0.0	20.71119280705184
1.65796389522	0.0	-1.2	-987.8586992188522	0.0	-983.9099065306395	0.595082855612682	0.595082855612682	0.0	0.0	32.83472060435525	0.0	32.703469541076146
2.087200211132	0.0	-1.2	-1563.9898377091765	0.0	-1557.7380613767227	0.5947442155989205	0.5947442155989205	0.0	0.0	52.00761810738872	0.0	51.79972673357563
2.627629188978	0.0	-1.2	-2475.915316284944	0.0	-2466.018277057258	0.5942281331907852	0.5942281331907852	0.0	0.0	82.35531489444125	0.0	82.02611390087024
